s2;d2;s3;d3;s4;d4;s5;d5;s6;d6;s7;d7;s8;d8;s9;d9;s10;d10;s11;d11;s12;d12;s13;d13;s14;d14;p23;p24;lkomp;p25b;p26;p27;p3;ocenaoss;p5;p6;p7;p8;s1;d1;zoss
5;3;5;4;3;3;4;2;4;2;3;2;4;4;3;3;3;3;4;2;4;2;4;5;5;4;3;1;4.3175;4.2485;1.6094;4.6052;1;4;1;4;1;2;2;1;3
1;3;5;3;3;4;3;3;3;4;3;3;2;2;4;4;2;1;4;3;4;2;5;4;2;2;2;0;2.9957;2.9444;0.0000;5.0106;1;3;4;4;4;1;1;4;1.75
5;4;4;4;4;4;3;3;4;4;2;4;3;5;5;5;2;2;4;2;3;2;5;5;3;3;2;0;3.4012;3.4012;0.0000;3.5553;1;4;1;2;1;1;5;4;3.75
5;5;5;3;4;4;4;3;4;4;3;3;3;3;4;4;2;2;4;2;3;3;4;4;3;3;3;0;3.4012;3.2958;0.0000;5.2983;1;2;1;4;3;2;2;2;2.5
4;5;5;4;3;3;3;3;4;4;3;4;3;4;4;4;2;2;1;3;1;3;2;2;2;2;3;1;4.1744;4.0943;0.6931;5.3936;1;4;4;1;4;1;4;4;2.5
4;3;4;5;2;2;4;3;4;4;2;2;2;2;2;4;2;2;4;4;4;2;4;4;5;5;4;0;2.9957;2.9957;0.0000;4.3820;1;5;3;4;3;4;4;3;1.5
5;5;5;4;4;4;4;4;5;5;2;2;1;2;4;4;3;3;4;2;4;1;5;5;3;3;3;1;5.0752;5.0106;1.0986;4.7875;1;2;2;4;2;2;3;3;2.5
4;2;5;3;1;1;3;3;4;3;3;5;3;5;3;5;1;2;4;4;5;3;5;5;5;4;3;0;3.8067;3.8067;0.0000;4.2485;1;3;3;1;4;2;1;1;2.5
5;4;5;4;5;5;4;4;5;5;2;4;2;4;4;4;2;2;4;4;4;4;4;4;3;3;3;0;1.6094;1.6094;0.0000;4.3820;1;4;4;4;4;1;4;4;1.75
5;5;5;4;5;5;5;5;4;4;2;2;4;2;2;4;3;2;3;5;4;5;3;3;2;2;3;0;1.0986;3.6889;0.0000;4.2485;1;4;3;3;3;1;5;5;2.5
4;3;4;4;4;3;4;2;4;3;4;4;2;4;3;4;3;2;4;3;4;5;5;5;3;3;2;1;3.9120;3.8067;0.0000;5.5215;1;3;3;3;1;2;3;3;2.75
4;5;5;5;5;5;4;4;5;5;1;1;3;3;5;3;3;3;5;4;4;5;3;3;4;4;2;0;4.2485;4.0943;1.0986;4.3820;1;5;1;1;1;1;5;4;4
2;2;2;2;2;2;3;3;2;2;3;3;3;4;2;4;2;2;4;4;4;5;3;3;4;4;2;1;3.6889;3.5553;0.0000;5.0106;1;2;3;3;3;4;4;4;1.75
5;4;5;4;2;4;3;2;4;4;2;2;2;2;4;4;3;3;2;3;2;3;4;4;2;2;3;0;3.9120;3.6889;0.6931;5.7038;0;1;1;1;1;1;4;4;4
5;3;5;5;4;4;4;2;4;4;2;2;2;2;2;2;3;3;2;4;3;5;2;2;2;2;2;0;3.6889;3.4012;0.6931;5.7038;1;4;1;1;2;2;2;2;3.5
5;3;4;3;4;4;3;3;3;3;4;4;4;4;4;4;2;3;4;2;4;2;4;5;4;4;1;0;2.3979;2.3026;0.0000;4.3820;0;1;1;1;1;1;2;5;4
5;5;5;3;3;3;3;3;3;3;4;3;5;5;4;4;2;2;3;3;4;4;4;4;3;3;2;0;4.6052;4.5643;1.0986;5.1358;1;5;1;1;2;4;4;4;3
5;5;2;4;2;3;3;3;4;4;3;2;3;4;2;3;2;2;4;3;4;4;2;4;4;4;2;1;4.3820;4.3175;1.0986;6.6201;0;1;1;1;1;1;1;2;4
2;5;5;4;5;5;4;3;4;4;2;4;2;4;4;4;1;1;4;4;3;4;3;3;4;4;3;0;3.9120;3.6889;0.6931;5.5215;1;4;1;2;2;2;5;4;3.25
4;5;5;4;4;5;5;4;5;5;2;2;1;1;5;5;2;2;4;4;4;5;5;5;1;1;3;1;4.6052;4.6052;1.6094;3.6889;1;5;1;1;1;2;3;3;3.75
4;2;4;2;3;3;2;2;3;3;3;4;3;4;4;5;1;1;4;3;4;3;4;4;4;4;2;0;2.0794;1.9459;0.6931;4.0943;0;1;1;1;1;1;3;1;4
5;3;4;2;3;3;1;2;3;4;4;3;3;3;4;5;2;2;4;3;4;4;3;5;4;4;2;1;4.8675;4.7875;1.0986;5.5215;1;2;3;2;3;2;3;3;2.5
4;3;3;4;2;4;4;4;4;4;2;2;5;2;5;5;3;3;4;3;4;3;5;5;2;2;3;0;4.2485;3.9120;0.0000;4.2485;1;3;1;1;1;1;5;4;4
5;3;5;5;4;4;4;3;4;4;3;4;3;4;5;5;2;2;2;4;3;4;3;3;4;4;2;1;4.0943;4.0073;1.6094;6.0684;1;5;2;1;1;2;1;1;3.5
3;4;4;4;2;3;3;3;2;3;4;4;3;4;2;5;3;3;5;2;5;4;3;2;4;4;2;0;3.6889;3.5553;0.6931;5.0752;1;4;1;2;3;2;4;3;3
1;4;1;5;4;5;3;4;5;5;3;4;3;5;5;4;2;2;3;2;4;1;5;5;5;5;2;0;4.3175;4.2485;0.6931;4.6052;1;4;1;1;3;1;5;4;3.5
5;4;5;4;3;3;2;2;4;4;2;5;2;5;5;5;1;1;4;4;4;4;4;4;5;5;2;0;3.8712;3.8501;0.0000;4.0073;0;1;1;1;1;1;5;5;4
4;3;4;3;3;3;3;3;3;3;3;4;2;4;4;4;2;2;4;4;4;3;3;3;4;3;2;0;4.6052;2.3026;1.0986;4.6913;1;3;3;3;3;3;4;3;2
4;5;5;4;2;2;4;2;4;2;3;2;2;4;2;4;3;3;2;2;4;4;4;4;4;4;4;1;3.9120;3.8501;0.0000;5.0106;1;4;1;1;1;1;2;2;4
5;5;4;5;4;4;5;5;4;4;3;1;2;3;5;5;3;3;2;4;3;5;5;5;5;5;3;1;1.9459;5.2983;0.0000;6.2146;1;5;2;2;1;1;5;4;3.5
5;4;5;5;4;4;4;4;3;3;3;2;3;2;2;2;2;2;3;3;3;3;4;4;4;4;3;1;8.5172;8.4118;3.5553;8.0064;1;4;1;1;1;1;5;4;4
4;3;4;4;2;3;4;4;4;3;3;2;3;2;4;4;3;3;2;4;4;4;2;2;2;2;3;1;3.2189;2.8904;0.0000;4.2485;1;4;1;1;1;2;5;4;3.75
4;3;4;1;1;1;1;1;3;3;4;4;4;5;4;5;1;1;5;2;5;2;3;3;4;2;1;0;5.2983;5.2983;2.0794;5.2983;0;1;1;1;1;1;2;2;4
4;4;4;4;4;4;3;3;3;3;3;4;3;4;4;4;1;1;4;4;4;5;4;4;4;4;3;0;4.3175;4.2767;0.6931;4.2485;1;3;2;4;1;2;2;2;2.75
5;2;1;5;5;4;4;4;4;4;2;4;4;4;2;4;3;3;4;4;3;3;4;2;4;4;2;1;3.6889;3.5835;0.6931;4.7875;1;5;1;4;4;2;5;1;2.25
1;2;2;1;1;2;1;1;1;1;1;1;3;1;2;2;4;3;5;5;3;3;5;5;1;5;2;0;4.3820;4.3175;0.0000;4.7449;1;5;4;4;4;2;1;2;1.5
1;5;1;4;5;5;5;5;4;4;2;4;4;3;2;4;3;1;4;2;4;2;2;4;4;4;2;0;3.4012;3.1781;1.3863;4.3820;1;5;4;1;2;2;5;4;2.75
5;3;5;3;5;5;3;3;3;3;3;5;3;5;5;5;2;2;5;3;5;4;4;4;5;5;2;0;3.4012;3.4012;0.0000;5.2983;0;1;1;1;1;1;4;4;4
5;3;3;4;5;5;5;5;5;5;1;1;1;4;5;5;3;3;3;5;3;4;3;3;5;5;4;0;3.8067;3.7377;0.6931;4.0073;1;5;1;4;1;2;2;2;3
3;3;5;3;1;1;3;3;4;4;2;3;2;3;5;5;2;2;3;3;4;4;3;3;3;3;2;0;3.5553;3.5264;0.6931;2.9957;1;3;2;2;2;2;5;5;3
5;4;5;3;5;3;5;3;5;3;4;4;5;4;5;5;4;4;4;5;3;4;5;5;1;1;3;1;4.2485;4.0943;1.0986;4.0943;1;3;1;1;1;2;5;5;3.75
4;4;5;4;2;2;2;2;3;3;2;4;2;4;5;5;2;2;4;3;4;4;4;4;2;2;3;1;1.3863;3.4012;1.0986;3.9120;1;4;1;3;3;1;4;2;3
5;4;5;4;3;3;1;3;2;2;2;4;2;4;2;5;3;3;4;3;5;4;2;2;4;2;2;0;5.5215;5.2983;1.0986;5.2983;0;1;1;1;1;1;4;2;4
5;2;5;2;4;4;3;3;3;5;3;2;2;2;4;4;2;3;4;3;4;4;4;5;3;3;1;0;4.0943;4.0431;0.0000;4.7875;1;3;1;1;1;1;3;3;4
5;4;5;4;3;3;3;2;4;4;2;4;2;4;3;3;3;3;4;5;4;2;5;4;5;5;2;1;2.9957;5.5215;1.0986;6.6846;0;1;1;1;1;1;4;4;4
4;4;4;4;2;2;1;1;2;2;4;4;4;4;4;4;1;1;4;4;4;4;5;5;4;4;1;1;4.6052;5.9915;1.3863;7.8240;0;1;1;1;1;1;2;2;4
5;3;5;4;4;4;3;3;4;4;3;4;3;4;2;4;3;3;5;3;5;4;5;5;5;5;3;0;5.0106;4.9416;1.3863;7.3132;1;5;1;1;1;2;5;5;3.75
3;2;3;2;1;1;2;2;2;2;3;2;2;2;4;4;3;3;4;4;4;3;4;4;4;4;2;1;4.2485;3.9120;0.6931;5.2983;1;2;2;2;2;4;1;1;2.5
3;3;4;4;4;3;5;4;5;4;2;1;4;4;1;4;3;2;3;2;3;4;5;4;4;3;4;1;4.2485;3.4012;0.0000;4.7005;1;4;1;1;1;2;5;2;3.75
3;4;4;3;4;3;5;3;5;3;3;3;2;3;4;4;3;2;4;5;4;4;5;4;3;3;4;1;4.6052;4.6052;1.0986;4.7875;1;4;1;2;2;2;3;3;3.25
5;5;5;5;5;5;5;5;5;5;3;4;3;4;3;3;2;2;4;4;4;5;4;4;3;3;4;0;3.9120;3.8286;0.0000;4.4998;1;4;4;4;4;1;5;5;1.75
5;4;5;3;3;3;1;2;3;3;4;3;3;3;4;4;1;2;5;3;5;3;2;3;3;3;2;1;5.8579;5.3936;2.7081;7.3132;0;1;1;1;1;1;2;3;4
5;5;4;5;3;3;5;4;4;4;3;4;2;4;2;5;2;2;3;3;4;2;1;1;4;4;2;0;3.5835;3.4965;0.0000;3.6889;1;4;2;1;1;1;3;3;3.75
4;2;3;3;4;4;3;3;3;2;3;4;4;5;3;3;1;1;4;4;5;5;5;5;2;2;2;0;4.9416;4.9127;1.0986;5.2311;1;4;1;4;1;2;2;1;3
3;3;3;3;4;4;4;3;3;3;2;3;2;4;3;5;3;3;5;3;3;3;4;4;4;4;3;0;4.0073;4.0073;0.6931;4.8675;1;4;1;2;4;1;4;4;3
5;3;5;4;4;4;5;2;5;3;2;2;2;5;3;5;3;2;3;4;5;3;3;3;3;3;1;0;2.7726;2.7726;0.0000;4.6052;1;3;1;4;4;2;2;1;2.25
4;4;4;4;3;4;4;3;4;5;3;2;1;3;3;4;1;1;4;3;4;4;2;4;4;3;3;0;5.0106;4.9416;0.6931;4.8675;1;3;1;3;3;1;3;2;3
5;5;4;3;5;5;5;5;5;5;3;1;1;3;3;5;2;2;2;4;2;3;1;1;1;1;2;1;4.0943;4.0943;0.6931;5.7038;1;5;1;1;2;1;4;4;3.75
2;2;4;2;2;2;2;2;2;2;4;4;4;4;1;1;2;3;4;2;4;2;4;2;2;2;2;0;3.9120;3.8501;0.6931;5.7038;1;3;4;4;4;2;2;3;1.5
4;3;4;5;5;5;4;4;4;4;4;3;4;3;2;2;3;3;4;4;4;4;4;4;4;4;3;0;2.3026;6.9078;3.9120;7.6009;1;4;3;3;2;2;5;5;2.5
4;2;5;2;3;3;4;2;3;3;4;3;3;4;3;5;2;2;3;3;4;4;3;4;3;3;3;0;3.4012;3.4012;0.0000;4.4427;1;3;1;2;2;2;4;3;3.25
4;2;5;3;4;4;2;2;3;3;1;3;1;3;3;4;3;3;3;4;4;4;4;4;3;3;3;0;3.7377;3.7377;0.0000;5.5215;1;3;4;4;1;1;4;1;2.5
4;2;2;4;5;4;5;3;5;3;1;1;3;3;1;3;4;1;2;4;4;3;1;4;4;4;2;1;4.0943;4.0073;0.6931;5.2983;1;4;1;2;3;2;3;2;3
5;4;5;4;4;4;5;5;4;4;2;4;2;4;4;4;3;3;3;4;3;4;4;4;4;4;1;0;4.3820;4.3175;0.6931;4.3820;1;4;3;3;3;3;4;4;2
4;4;3;4;4;4;5;5;4;4;2;3;3;2;4;5;2;2;4;4;5;5;4;4;4;5;3;0;0.0000;1.6094;0.0000;5.2983;1;4;3;1;4;1;5;3;2.75
4;4;5;3;3;3;2;2;3;3;2;4;2;4;4;4;1;1;4;4;4;4;4;4;4;4;2;0;3.2189;3.2189;0.0000;5.4806;1;4;4;1;4;2;1;1;2.25
5;3;5;4;4;4;3;3;3;3;3;3;3;3;5;5;1;1;4;3;5;2;4;4;4;3;2;1;5.2983;5.2470;1.3863;5.5215;1;4;1;1;1;4;2;1;3.25
5;5;5;5;5;5;5;4;5;5;1;1;1;2;2;4;1;1;4;4;3;3;1;1;5;3;3;0;4.0073;3.9890;0.0000;6.3099;1;4;4;4;4;2;5;4;1.5
4;2;4;2;3;3;5;4;3;3;4;4;3;3;3;3;3;3;3;4;4;4;3;4;4;4;2;0;4.0943;1.7918;1.0986;5.2983;1;5;1;1;1;1;4;3;4
2;4;3;3;4;4;3;3;4;3;3;4;3;4;2;3;3;2;3;3;3;3;4;4;4;3;3;0;3.1781;3.1781;0.6931;4.9416;1;4;1;3;3;1;3;2;3
1;4;1;2;2;2;3;3;2;3;3;4;3;3;4;4;1;2;3;2;3;3;1;2;1;1;1;0;4.4998;4.3820;0.0000;5.5215;0;1;1;1;1;1;3;1;4
4;3;4;3;3;3;4;4;4;4;3;4;3;4;4;4;2;2;4;3;4;4;3;3;3;3;2;0;4.7005;4.6540;0.6931;6.3099;1;3;3;2;4;2;3;3;2.25
4;4;3;4;4;4;3;4;4;4;3;4;3;4;4;4;2;2;4;4;4;4;4;4;4;4;2;0;3.4012;3.3322;0.0000;0.0000;1;3;2;4;4;2;2;2;2
4;3;4;3;3;3;4;3;4;4;2;2;4;3;3;5;2;2;4;3;4;4;3;4;4;4;3;1;3.2189;3.1355;0.0000;4.2485;1;2;4;3;3;2;1;1;2
2;4;2;3;2;3;3;3;3;3;4;3;2;3;4;4;1;1;4;3;5;3;4;4;3;3;3;1;0.6931;1.6094;1.3863;1.3863;0;1;1;1;1;1;3;3;4
2;4;1;4;4;4;3;3;4;4;4;2;2;2;2;4;1;3;5;3;5;3;2;3;4;4;2;0;3.6889;3.6636;0.0000;6.4693;0;1;1;1;1;1;2;3;4
1;4;1;4;3;2;2;3;4;4;3;4;2;4;4;4;2;2;4;2;4;2;5;4;4;3;3;1;4.0943;4.0073;0.0000;4.9053;1;3;1;1;1;2;3;3;3.75
3;4;3;3;3;3;4;4;3;3;3;4;3;4;5;5;2;2;3;4;3;3;4;4;3;3;2;0;3.5553;3.5553;0.0000;5.4381;1;3;1;4;4;1;5;3;2.5
3;3;3;3;4;4;3;3;4;4;3;4;3;4;3;5;1;1;4;3;4;3;3;3;4;4;2;0;3.2189;3.2189;0.6931;4.3820;1;4;1;2;1;2;4;4;3.5
4;5;5;5;5;5;2;3;2;2;4;3;2;3;2;4;1;1;4;5;4;5;4;3;4;4;3;0;5.5215;5.2983;1.7918;8.0064;1;4;1;2;4;1;5;4;3
4;3;4;4;2;2;4;4;4;4;2;2;4;4;4;4;3;3;2;3;4;3;4;4;2;2;2;0;1.6094;4.0943;0.6931;5.2983;1;5;1;1;2;1;5;4;3.75
5;5;5;5;3;3;4;2;4;3;3;2;4;5;4;5;1;1;4;2;4;5;3;4;4;3;3;0;4.1744;4.1431;0.0000;4.1431;1;3;2;1;3;1;3;3;3.25
4;2;5;2;3;4;4;4;4;3;2;2;2;4;4;4;3;3;4;3;4;3;4;4;4;4;2;1;3.9120;3.9120;0.6931;5.9915;1;3;4;1;4;1;2;2;2.5
4;4;4;4;5;4;4;4;4;4;3;5;3;5;2;2;2;1;2;2;2;2;1;1;5;4;2;0;2.0794;4.2485;0.6931;4.4998;1;5;1;1;1;2;2;2;3.75
5;5;5;5;2;2;4;2;4;3;2;2;4;4;2;4;3;1;4;4;4;4;4;4;4;4;4;1;4.6540;4.6052;0.6931;6.5511;1;4;1;1;1;2;3;1;3.75
1;2;2;2;4;4;5;3;4;3;2;2;4;4;2;5;2;2;4;2;3;3;4;4;4;4;1;0;4.5951;4.5951;4.5951;4.5951;1;4;1;4;3;4;4;1;2
1;2;4;2;1;3;1;1;1;1;5;5;5;5;5;5;0;0;4;4;5;4;3;3;3;3;2;0;4.1744;1.9459;0.0000;5.6525;0;1;1;1;1;1;4;3;4
5;4;4;4;4;4;4;4;4;4;4;2;2;2;2;4;1;1;4;3;3;3;4;2;4;2;2;0;3.6889;3.6109;0.0000;4.5951;1;4;3;3;3;2;5;2;2.25
4;4;5;4;5;5;5;5;5;5;1;2;1;2;4;4;3;3;3;3;3;3;1;1;3;3;3;0;4.0073;3.9120;0.6931;5.2983;1;5;1;1;1;1;5;4;4
4;3;5;5;5;3;5;5;5;4;3;2;3;5;5;5;4;4;2;5;4;5;5;5;3;3;2;0;2.9957;2.9444;0.0000;0.0000;1;3;1;3;4;2;5;5;2.5
4;3;5;2;2;1;2;2;4;4;5;4;4;5;3;3;2;1;4;3;3;4;2;2;3;3;3;1;5.2983;5.2983;1.3863;5.2983;1;2;2;2;2;4;1;1;2.5
4;5;4;5;5;5;3;3;4;4;2;2;2;4;2;4;2;3;2;2;5;3;3;4;3;3;4;0;2.3026;2.3026;0.0000;3.9120;1;4;1;4;4;1;3;3;2.5
5;2;5;2;1;1;1;1;5;5;3;2;3;2;2;2;3;3;4;1;2;1;5;5;5;5;4;0;4.2485;4.1744;0.6931;5.0106;1;5;1;4;1;1;5;4;3.25
3;5;5;5;3;5;5;5;5;5;1;2;1;4;3;4;3;3;3;4;3;5;5;5;5;4;4;1;2.3026;5.0106;1.9459;4.7875;1;5;1;1;1;1;1;1;4
5;2;5;3;5;5;3;2;4;4;2;4;2;2;4;4;2;2;3;3;4;4;2;2;4;4;2;0;3.4657;3.4340;0.0000;4.6444;1;4;4;1;4;1;5;1;2.5
4;4;5;3;3;3;2;2;4;4;3;4;3;4;4;4;1;1;4;4;4;4;4;4;4;4;2;0;5.0752;5.0434;0.6931;5.8579;1;3;2;2;2;2;3;1;3
4;4;4;4;4;2;2;2;4;4;2;2;5;2;2;5;1;1;5;2;5;4;2;4;4;3;3;0;4.7875;4.7005;0.6931;5.7038;0;1;1;1;1;1;1;1;4
5;4;5;5;4;5;5;5;5;5;2;2;1;1;2;2;2;3;4;5;5;5;5;4;4;4;2;1;4.1109;4.0943;1.3863;4.2485;1;4;1;3;3;1;4;5;3
5;3;5;3;5;5;3;3;4;4;2;3;2;4;4;4;1;1;4;4;4;5;5;5;5;5;4;0;4.0943;3.9120;0.6931;4.3820;1;4;1;1;4;1;5;4;3.25
4;2;4;2;2;2;2;2;2;2;4;4;4;4;4;4;2;2;4;2;4;2;4;4;3;3;2;1;3.9120;3.9120;0.6931;4.0943;0;1;1;1;1;1;2;2;4
2;1;4;1;1;1;2;2;2;2;3;4;3;4;5;5;0;0;5;4;5;5;2;2;2;2;3;1;4.7875;4.6052;0.0000;5.5215;0;1;1;1;1;1;1;1;4
2;4;3;5;5;3;5;5;5;3;2;5;4;5;1;5;4;4;2;1;4;3;1;4;1;3;2;1;6.9078;6.8024;2.9957;7.6009;1;4;1;1;1;2;5;5;3.75
4;3;5;4;5;5;4;4;5;5;3;3;3;3;4;4;3;3;4;3;3;3;3;3;3;3;1;0;4.1744;4.0943;0.6931;4.6052;1;4;1;3;1;1;3;3;3.5
5;5;4;4;3;3;3;3;5;5;3;4;3;4;4;4;2;2;4;4;4;4;4;4;3;3;3;0;3.6376;3.5553;0.0000;3.5835;1;4;2;2;4;1;4;4;2.75
5;3;5;3;2;2;3;2;5;4;2;3;4;3;2;4;3;2;4;2;4;2;1;1;3;3;5;1;7.8240;7.7407;3.7377;8.2940;1;5;1;1;1;1;5;1;4
4;2;5;2;2;3;4;3;4;5;3;2;2;2;2;4;3;1;4;3;4;4;2;2;2;2;2;0;3.6889;3.4012;1.0986;3.9120;1;4;1;1;1;1;3;1;4
5;3;5;4;4;3;4;3;4;4;3;3;3;2;3;2;2;1;4;3;4;4;4;4;4;4;3;0;4.7875;4.7707;0.6931;6.3969;1;5;1;2;1;1;4;2;3.75
